:20,:22A,:22C,:30T,:52A,:82A,:87A,:77H,:30V,:36,:32B,:57A,:33B,:53A,:56,:57D,:58A,:24D
"06997FXJ1342616A
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","15/03/2019
","8.57168
","NOK 8834999.99
","NDEANOKKXXX
","USD 1030719.76
","SOGEUS33XXX
","CHASUS33XXX
","CHASGB2LXXX
","NEWGGB2L
"
"06997FXJ1342651A
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","15/03/2019
","3.59609
","USD 530576.27
","SOGEUS33XXX
","ILS 1908000.02
","POALILITXXX
",0,"LUMIILITXXX
","NEWGGB2L
"
"06997FXJ1342620K
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","19/03/2019
","19.291043
","MXN 48118243.51
","BCMRMXMMXXX
","USD 2494330.84
","SOGEUS33XXX
","CHASUS33XXX
","CHASGB2LXXX
","NEWGGB2L
"
"06997FXJ1342616K
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","18/03/2019
","8.5706
","USD 1030849.65
","SOGEUS33XXX
","NOK 8834999.99
","NDEANOKKXXX
","NDEANOKKXXX
","CHASGB2LXXX
","NEWGGB2L
"
"06997FXJ1342600K
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","18/03/2019
","3.7992
","USD 4745783.6
","SOGEUS33XXX
","PLN 18030181.05
","SOGEPLPW
","BREXPLPWXXX
","CHASGB2LXXX
","NEWGGB2L
"
"06997FXJ1342635A
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","15/03/2019
","111.70545
","JPY 2592876608
","CHASGB2LXXX
","USD 23211728.77
","SOGEUS33
","CTBAAU2SXXX
","ANZBAU3MXXX
","NEWGGB2L
"
"06997FXJ1342567K
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","18/03/2019
","14.431978
","USD 12661748.65
","SOGEUS33XXX
","ZAR 182734077.91
","ABSAZAJJXXX
",0,"SBZAZAJJXXX
","NEWGGB2L
"
"06997FXJ1342600A
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","15/03/2019
","3.7995
","PLN 18030181.05
","SOGEPLPW
","USD 4745408.88
","SOGEUS33XXX
","CHASUS33XXX
","CHASGB2LXXX
","NEWGGB2L
"
"06997FXJ1342587K
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","18/03/2019
","9.301296
","USD 1191609.36
","SOGEUS33XXX
","SEK 11083511.35
","ESSESESSXXX
","HANDSESSXXX
","CHASGB2LXXX
","NEWGGB2L
"
"06997FXJ1342566A
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","15/03/2019
","14.4268
","ZAR 6654750
","ABSAZAJJXXX
","USD 461276.93
","SOGEUS33XXX
","CHASUS33XXX
","CHASGB2LXXX
","NEWGGB2L
"
"06997FXJ1342587A
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","15/03/2019
","9.30335
","SEK 11083511.35
","ESSESESSXXX
","USD 1191346.27
","SOGEUS33XXX
","CHASUS33XXX
","CHASGB2LXXX
","NEWGGB2L
"
"06997FXJ1342570A
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","15/03/2019
","1.35527
","SGD 1647146.32
","DBSSSGSGXXX
","USD 1215363.96
","SOGEUS33XXX
","CHASUS33XXX
","CHASGB2LXXX
","NEWGGB2L
"
"06997FXJ1342628A
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","15/03/2019
","19.2788
","MXN 48294205.14
","BCMRMXMMXXX
","USD 2505042.07
","SOGEUS33XXX
","CHASUS33XXX
","CHASGB2LXXX
","NEWGGB2L
"
"06997FXJ1342603K
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","18/03/2019
","0.683504
","NZD 3061046.31
","ANZBNZ22XXX
","USD 2092237.4
","SOGEUS33XXX
","CHASUS33XXX
","CHASGB2LXXX
","NEWGGB2L
"
"06997FXJ1342628K
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","19/03/2019
","19.291043
","USD 2503452.26
","SOGEUS33XXX
","MXN 48294205.14
","BCMRMXMMXXX
",,"CHASGB2LXXX
","NEWGGB2L
"
"06997FXJ1342566K
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","18/03/2019
","14.431978
","USD 461111.43
","SOGEUS33XXX
","ZAR 6654750
","ABSAZAJJXXX
",0,"SBZAZAJJXXX
","NEWGGB2L
"
"06997FXJ1342731K
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","15/03/2019
","1.331296
","USD 4366670.11
","SOGEUS33XXX
","CAD 5813330.45
","CIBCCATTXXX
","ROYCCAT2XXX
","CHASGB2LXXX
","NEWGGB2L
"
"06997FXJ1342713A
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","15/03/2019
","1.00437
","USD 8908461.1
","SOGEUS33XXX
","CHF 8947391.08
","CRESCHZZ80A
",0,"CRESCHZZ80A
","NEWGGB2L
"
"06997FXJ1342745K
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","18/03/2019
","0.706348
","USD 8067239.15
","SOGEUS33XXX
","AUD 11421054.7
","CTBAAU2SXXX
",0,"ANZBAU3MXXX
","NEWGGB2L
"
"06997FXJ1342620A
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","15/03/2019
","19.2788
","USD 2495914.87
","SOGEUS33XXX
","MXN 48118243.51
","BCMRMXMMXXX
",,"CHASGB2LXXX
","NEWGGB2L
"
"06997FXJ1342570K
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","18/03/2019
","1.355201
","USD 1215425.84
","SOGEUS33XXX
","SGD 1647146.32
","DBSSSGSGXXX
","OCBCSGSGXXX
","CHASGB2LXXX
","NEWGGB2L
"
"06997FXJ1342603A
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","15/03/2019
","0.6835
","USD 2092225.15
","SOGEUS33XXX
","NZD 3061046.31
","ANZBNZ22XXX
",0,"ANZBNZ22XXX
","NEWGGB2L
"
"06997FXJ1344647A
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","18/03/2019
","1.6047
","AUD 1604700
","CTBAAU2SXXX
","EUR 1000000
","SOGEFRPPHCM
","CHASDEFXXXX
","CHASGB2LXXX
","NEWGGB2L
"
"06997FXJ1344460A
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","18/03/2019
","1.08418
","NOK 1000000
","NDEANOKKXXX
","SEK 1084180
","ESSESESSXXX
","HANDSESSXXX
","CHASGB2LXXX
","NEWGGB2L
"
"06997FXJ1344456A
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","18/03/2019
","1.08407
","SEK 1084070
","ESSESESSXXX
","NOK 1000000
","ANZBNZ22XXX
",0,"ANZBNZ22XXX
","NEWGGB2L
"
"06997FXJ1342727K
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","18/03/2019
","1.004099
","CHF 1301208.46
","CRESCHZZ80A
","USD 1295896.58
","SOGEUS33XXX
",0,"CHASUS33XXX
","NEWGGB2L
"
"06997FXJ1342756K
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","18/03/2019
","0.706348
","AUD 27014567.75
","CTBAAU2SXXX
","USD 19081685.9
","SOGEUS33XXX
","CHASUS33XXX
","CHASGB2LXXX
","NEWGGB2L
"
"06997FXJ1342727A
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","15/03/2019
","1.00437
","USD 1295546.92
","SOGEUS33XXX
","CHF 1301208.46
","CRESCHZZ80A
",0,"CRESCHZZ80A
","NEWGGB2L
"
"06997FXJ1344010A
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","19/03/2019
","19.3021
","MXN 9651050
","BCMRMXMMXXX
","USD 500000
","SOGEUS33XXX
","CHASUS33XXX
","CHASGB2LXXX
","NEWGGB2L
"
"06997FXJ1342734K
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","15/03/2019
","1.331296
","CAD 24924203.3
","CIBCCATTXXX
","USD 18721759.32
","SOGEUS33XXX
","CHASUS33XXX
","CHASGB2LXXX
","NEWGGB2L
"
"06997FXJ1342634K
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","19/06/2019
","110.88003
","JPY 334200000
","CHASGB2LXXX
","USD 3014068.45
","SOGEUS33
","CTBAAU2SXXX
","ANZBAU3MXXX
","NEWGGB2L
"
"06997FXJ1342664A
","NEWT
","NEWGL1113SOGEPP
","14/03/2019
","NEWGGB2L
","SOGEFRPPHCM
","NEWGGB2L
","ISDA 01/06/2001
","18/03/2019
","277.82808
","USD 9531094.5
","SOGEUS33XXX
","HUF 2648005684.52
","OKHBHUHBXXX
","INGBHUHBXXX
","CHASGB2LXXX
","NEWGGB2L
"
